var,lake,deviance.z,rel.inf,deviance.z.median,deviance.z.iqr,deviance.z.select,rel.inf.median,rel.inf.iqr,rel.inf.select
decyear,lake0003,2,43.7490510228897,-0.0931476549337691,0.601289019097501,0.704274306871229,0.17828450828972,0.294941283313522,43.3374529645523
PC2,lake0003,0.878378378378378,2.47242948313839,-0.0931476549337691,0.601289019097501,-0.417347314750393,0.17828450828972,0.294941283313522,2.06083142480106
PC83,lake0003,0.491503267973856,1.30367954625915,-0.0931476549337691,0.601289019097501,-0.804222425154915,0.17828450828972,0.294941283313522,0.892081487921826
decyear,lake0012,2,8.07910703977113,0.359864026033909,0.893824190515367,0.572215645003175,0.173656994580171,0.343453999712562,7.56585603492617
month,lake0012,2,30.8252450599705,0.359864026033909,0.893824190515367,0.572215645003175,0.173656994580171,0.343453999712562,30.3119940551255
PC14,lake0012,0.344186046511628,1.05302186610207,0.359864026033909,0.893824190515367,-1.0835983084852,0.173656994580171,0.343453999712562,0.539770861257112
PC22,lake0012,0.397904888593282,1.53537677297625,0.359864026033909,0.893824190515367,-1.02987946640354,0.173656994580171,0.343453999712562,1.0221257681313
PC24,lake0012,1.83210784313725,2.8218024012264,0.359864026033909,0.893824190515367,0.40432348814043,0.173656994580171,0.343453999712562,2.30855139638144
PC43,lake0012,1.35922619047619,2.32581280004248,0.359864026033909,0.893824190515367,-0.0685581645206344,0.173656994580171,0.343453999712562,1.81256179519752
PC5,lake0012,1.93633276740238,2.60478459924546,0.359864026033909,0.893824190515367,0.508548412405552,0.173656994580171,0.343453999712562,2.0915335944005
PC68,lake0012,1.95665961945032,1.07945206776833,0.359864026033909,0.893824190515367,0.528875264453492,0.173656994580171,0.343453999712562,0.566201062923374
PC76,lake0012,2.28181818181818,1.66835214889258,0.359864026033909,0.893824190515367,0.854033826821357,0.173656994580171,0.343453999712562,1.15510114404763
PC89,lake0012,1.67188431723315,1.06909369547779,0.359864026033909,0.893824190515367,0.24409996223633,0.173656994580171,0.343453999712562,0.555842690632832
PC9,lake0012,0.719669117647059,1.76349681820713,0.359864026033909,0.893824190515367,-0.708115237349766,0.173656994580171,0.343453999712562,1.25024581336218
decyear,lake0021,2,18.4486570609693,0.189042455830115,0.88051508891394,0.428012278002235,0.267059911650136,0.314860386039435,18.0859962005405
PC1,lake0021,1.53571428571429,1.47727343856686,0.189042455830115,0.88051508891394,-0.0362734362834789,0.267059911650136,0.314860386039435,1.11461257813812
PC10,lake0021,0.707855973813421,1.10275924377091,0.189042455830115,0.88051508891394,-0.864131748184344,0.267059911650136,0.314860386039435,0.740098383342174
PC15,lake0021,1.13676697530864,1.80076260143789,0.189042455830115,0.88051508891394,-0.435220746689122,0.267059911650136,0.314860386039435,1.43810174100916
PC17,lake0021,0.780080889787664,1.58230467578908,0.189042455830115,0.88051508891394,-0.7919068322101,0.267059911650136,0.314860386039435,1.21964381536035
