Index,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AAO,1979,0.209,0.356,0.899,0.678,0.724,1.7,2.412,0.546,0.629,0.16,-0.423,-0.951
AAO,1980,-0.447,-0.98,-1.424,-2.068,-0.479,0.286,-1.944,-0.997,-1.701,0.577,-2.013,-0.356
AAO,1981,0.231,0.039,-0.966,-1.462,-0.344,0.352,-0.986,-2.118,-1.509,-0.26,0.626,1.116
AAO,1982,-0.554,0.277,1.603,1.531,0.118,0.92,-0.415,0.779,1.58,-0.702,-0.849,-1.934
AAO,1983,-1.34,-1.081,0.166,0.149,-0.437,-0.263,1.114,0.792,-0.696,1.193,0.727,0.475
AAO,1984,-1.098,-0.544,0.251,-0.204,-1.237,0.426,0.89,-0.548,0.327,-0.009,-0.024,-1.476
AAO,1985,-0.795,0.215,-0.134,0.031,-0.066,-0.331,1.914,0.595,1.507,0.471,1.085,1.24
AAO,1986,0.158,-1.588,-0.77,-0.087,-1.847,-0.619,0.089,-0.157,0.849,0.306,-0.222,0.886
AAO,1987,-0.95,-0.708,-0.133,-0.286,0.039,-0.702,-1.531,1.485,-0.799,0.455,1.06,0.272
AAO,1988,-0.612,0.551,-0.219,-0.077,-0.749,-1.055,0.576,-0.745,-0.689,-2.314,0.401,1.074
AAO,1989,0.618,0.849,0.632,-0.573,2.691,1.995,1.458,-0.132,-0.121,0.136,0.572,-0.445
AAO,1990,-0.352,1.151,0.414,-1.879,-1.803,0.093,-1.215,0.466,1.482,0.139,-0.359,-0.312
AAO,1991,0.869,-0.852,0.522,-0.639,-0.539,-1.155,-1.22,0.036,-0.513,-0.623,-0.804,-2.067
AAO,1992,0.073,-1.627,-1.01,-0.439,-2.032,-2.193,-0.566,-0.35,0.435,-0.319,0.122,0.244
AAO,1993,-2.021,0.437,-0.378,0.087,1.26,1.218,1.957,1.083,1.061,0.748,0.324,1.028
AAO,1994,0.723,1.157,0.693,-0.052,-0.153,-1.682,-0.492,1.91,-0.947,-0.578,-0.793,0.933
AAO,1995,1.448,0.533,-0.154,0.649,1.397,-0.802,-3.01,-0.696,1.173,-0.057,0.143,1.47
AAO,1996,0.332,-0.525,0.543,0.115,0.983,-0.252,0.021,-1.502,-1.314,0.966,-1.667,-0.023
AAO,1997,0.369,-0.244,0.701,-0.458,1.028,-0.458,0.78,0.768,0.122,-0.595,-1.905,-0.835
AAO,1998,0.413,0.39,0.736,1.927,-0.038,1.031,1.45,0.904,-0.122,0.4,0.817,1.435
AAO,1999,0.999,0.456,0.18,0.949,1.639,-1.325,0.316,0.042,-0.012,1.653,0.901,1.784
AAO,2000,1.273,0.62,0.133,0.233,1.127,0.117,0.059,-0.674,-1.853,0.347,-1.537,-1.29
AAO,2001,-0.471,-0.265,-0.555,0.515,-0.262,0.386,-0.928,0.91,1.161,1.277,0.996,1.474
AAO,2002,0.747,1.334,-1.823,0.165,-2.798,-1.112,-0.591,-0.099,-0.864,-2.564,-0.924,1.308
AAO,2003,-0.988,-0.357,-0.188,0.224,0.385,-0.775,0.727,0.678,-0.323,-0.025,-0.712,-1.323
AAO,2004,0.807,-1.182,0.432,0.151,0.46,1.195,1.474,-0.071,0.254,-0.042,-0.242,-0.973
AAO,2005,-0.129,1.243,0.158,0.355,-0.297,-1.428,-0.252,0.228,0.241,0.031,-0.551,-1.968
AAO,2006,0.339,-0.211,0.501,-0.169,1.695,0.438,0.926,-1.727,-0.324,0.879,0.101,0.638
AAO,2007,-0.083,0.075,-0.57,-1.035,-0.612,-1.198,-2.631,-0.108,0.031,-0.434,-0.984,1.929
