var,rel.inf,lake,n.trees,lr
decyear,42.8332793605385,lake0003,1350,0.1024
PC2,25.2116242622437,lake0003,1350,0.1024
PC83,22.4700447034144,lake0003,1350,0.1024
month,9.48505167380342,lake0003,1350,0.1024
month,13.9565895418046,lake0012,1100,0.1024
decyear,13.1291526180699,lake0012,1100,0.1024
PC43,9.85410742518802,lake0012,1100,0.1024
PC9,9.31310402014939,lake0012,1100,0.1024
PC89,9.08128427506105,lake0012,1100,0.1024
PC5,8.85820112673469,lake0012,1100,0.1024
PC68,8.09757276909455,lake0012,1100,0.1024
PC22,7.58058722629556,lake0012,1100,0.1024
PC76,6.97263625592536,lake0012,1100,0.1024
PC24,6.79084500080388,lake0012,1100,0.1024
PC14,6.36591974087303,lake0012,1100,0.1024
decyear,19.362704307785,lake0021,1200,0.1024
PC80,8.65939648526739,lake0021,1200,0.1024
PC63,7.87966360347592,lake0021,1200,0.1024
PC15,7.80719613609835,lake0021,1200,0.1024
PC4,7.73768264778146,lake0021,1200,0.1024
PC39,7.49421327441496,lake0021,1200,0.1024
PC1,7.12792952809568,lake0021,1200,0.1024
PC9,7.11187238373683,lake0021,1200,0.1024
PC17,6.55368334409073,lake0021,1200,0.1024
PC95,6.1514192967099,lake0021,1200,0.1024
PC88,5.58511593842076,lake0021,1200,0.1024
PC10,5.23378802685733,lake0021,1200,0.1024
month,3.29533502726568,lake0021,1200,0.1024
month,10.2630660259517,lake0022,2650,0.1024
PC74,8.94165426561923,lake0022,2650,0.1024
decyear,8.68362832710185,lake0022,2650,0.1024
PC60,8.66155315180506,lake0022,2650,0.1024
PC17,8.16404653140922,lake0022,2650,0.1024
PC40,7.75479706174524,lake0022,2650,0.1024
PC71,7.1116502165456,lake0022,2650,0.1024
PC70,6.88228170364903,lake0022,2650,0.1024
PC79,6.68728868639199,lake0022,2650,0.1024
PC20,5.77328785247697,lake0022,2650,0.1024
PC4,5.60850849984956,lake0022,2650,0.1024
PC57,5.49463968009788,lake0022,2650,0.1024
PC73,5.04993058637333,lake0022,2650,0.1024
PC32,4.92366741098333,lake0022,2650,0.1024
PC10,8.11565682628491,lake0026,2650,0.1024
decyear,8.0218194018542,lake0026,2650,0.1024
PC11,7.86812963930972,lake0026,2650,0.1024
PC30,7.85252638107948,lake0026,2650,0.1024
PC6,7.6136234987034,lake0026,2650,0.1024
PC22,7.59822083954795,lake0026,2650,0.1024
PC48,6.27756425517088,lake0026,2650,0.1024
PC72,5.93900824688644,lake0026,2650,0.1024
PC67,5.63315211867462,lake0026,2650,0.1024
PC51,5.60615938780169,lake0026,2650,0.1024
PC32,5.59599087100952,lake0026,2650,0.1024
PC4,5.54366066834272,lake0026,2650,0.1024
PC2,5.25399297794284,lake0026,2650,0.1024
PC9,5.15287942107972,lake0026,2650,0.1024
PC54,4.68133801162863,lake0026,2650,0.1024
month,3.2462774546833,lake0026,2650,0.1024
decyear,37.8315003587136,lake0029,2500,0.1024
PC11,16.0175310695455,lake0029,2500,0.1024
PC34,15.5307302078318,lake0029,2500,0.1024
PC2,14.5456975080686,lake0029,2500,0.1024
PC78,13.7691638149046,lake0029,2500,0.1024
month,2.30537704093597,lake0029,2500,0.1024
decyear,33.0512153340541,lake0034,1400,0.1024
PC19,10.2050408823222,lake0034,1400,0.1024
PC26,9.9828740210098,lake0034,1400,0.1024
PC17,9.28635151305194,lake0034,1400,0.1024
PC43,8.94454618989907,lake0034,1400,0.1024
PC31,8.1916643349434,lake0034,1400,0.1024
PC15,7.59487947490522,lake0034,1400,0.1024
PC1,7.00748830279727,lake0034,1400,0.1024
month,5.73593994701699,lake0034,1400,0.1024
decyear,8.11033009627341,lake0042,2200,0.1024
PC9,7.65812103417253,lake0042,2200,0.1024
PC15,6.86283126285935,lake0042,2200,0.1024
PC14,6.46027581902189,lake0042,2200,0.1024
PC7,6.0942870051521,lake0042,2200,0.1024
PC30,6.03167664122021,lake0042,2200,0.1024
PC100,5.83041405141052,lake0042,2200,0.1024
PC57,5.6953739460103,lake0042,2200,0.1024
PC62,5.39263288820584,lake0042,2200,0.1024
PC11,5.28996538149432,lake0042,2200,0.1024
PC84,4.65310812851348,lake0042,2200,0.1024
month,4.47129086885983,lake0042,2200,0.1024
PC2,4.45908646898632,lake0042,2200,0.1024
PC19,4.40037685575182,lake0042,2200,0.1024
PC76,4.19243443628592,lake0042,2200,0.1024
PC35,3.70262336493374,lake0042,2200,0.1024
PC43,3.68190429417189,lake0042,2200,0.1024
PC32,3.59290936370764,lake0042,2200,0.1024
PC39,3.42035809296892,lake0042,2200,0.1024
PC5,15.9858509612415,lake0053,1900,0.2048
PC90,14.4096090853706,lake0053,1900,0.2048
PC17,14.3681602278238,lake0053,1900,0.2048
PC60,13.9988792270827,lake0053,1900,0.2048
PC4,13.8284279566846,lake0053,1900,0.2048
PC2,12.7974080015703,lake0053,1900,0.2048
decyear,12.4664663869563,lake0053,1900,0.2048
month,2.1451981532703,lake0053,1900,0.2048
month,39.8287206104774,lake0068,1300,0.0512
decyear,15.6547207972015,lake0068,1300,0.0512
PC19,15.3074745773109,lake0068,1300,0.0512
PC4,14.7494022931942,lake0068,1300,0.0512
PC2,14.459681721816,lake0068,1300,0.0512
PC26,12.3761318173622,lake0081,2150,0.1024
PC42,11.55812650892,lake0081,2150,0.1024
PC30,11.5064317826473,lake0081,2150,0.1024
PC25,11.2930363781702,lake0081,2150,0.1024
PC64,10.8550474603929,lake0081,2150,0.1024
PC43,10.6747354778568,lake0081,2150,0.1024
PC31,10.4545604776609,lake0081,2150,0.1024
PC4,9.23366484135801,lake0081,2150,0.1024
decyear,8.72412210015965,lake0081,2150,0.1024
month,3.32414315547206,lake0081,2150,0.1024
decyear,65.8385510934891,lake0082,1800,0.2048
PC11,21.6218761638482,lake0082,1800,0.2048
month,12.5395727426627,lake0082,1800,0.2048
decyear,33.5831638427055,lake0091,1150,0.2048
PC19,14.7592368727052,lake0091,1150,0.2048
PC2,11.9470949385158,lake0091,1150,0.2048
PC11,11.8068464925866,lake0091,1150,0.2048
PC94,11.6683981339624,lake0091,1150,0.2048
PC6,11.5457504892757,lake0091,1150,0.2048
month,4.68950923024884,lake0091,1150,0.2048
decyear,40.5724336150537,lake0093,1900,0.2048
PC2,14.2814621962301,lake0093,1900,0.2048
PC34,11.1872625269404,lake0093,1900,0.2048
PC32,10.6121541283275,lake0093,1900,0.2048
PC18,9.38542710762813,lake0093,1900,0.2048
PC48,9.35855836744852,lake0093,1900,0.2048
month,4.60270205837168,lake0093,1900,0.2048
decyear,25.6269278416779,lake0107,2800,0.1024
PC22,7.56137059708828,lake0107,2800,0.1024
month,7.2246522077858,lake0107,2800,0.1024
PC1,7.20057363357832,lake0107,2800,0.1024
PC68,7.10059716376844,lake0107,2800,0.1024
PC60,6.65402830641636,lake0107,2800,0.1024
PC32,6.38586856271263,lake0107,2800,0.1024
PC17,6.02830168622889,lake0107,2800,0.1024
PC23,6.02725036235419,lake0107,2800,0.1024
PC44,5.98158972169807,lake0107,2800,0.1024
PC10,4.93047098986522,lake0107,2800,0.1024
PC14,4.80260716045128,lake0107,2800,0.1024
PC19,4.47576176637459,lake0107,2800,0.1024
decyear,95.8414983033895,lake0115,1500,0.0512
month,4.15850169661052,lake0115,1500,0.0512
month,20.657578664964,lake0118,1250,0.1024
decyear,14.9106611857876,lake0118,1250,0.1024
PC69,13.569446293243,lake0118,1250,0.1024
PC1,10.517242234522,lake0118,1250,0.1024
PC81,10.3378382284314,lake0118,1250,0.1024
PC74,10.2726311031818,lake0118,1250,0.1024
PC41,10.1315094611684,lake0118,1250,0.1024
PC4,9.60309282870177,lake0118,1250,0.1024
decyear,85.8329352717207,lake0141,1100,0.4096
month,14.1670647282793,lake0141,1100,0.4096
decyear,10.9713596244526,lake0177,2550,0.1024
PC4,10.3108511790235,lake0177,2550,0.1024
PC24,10.1495079858789,lake0177,2550,0.1024
PC66,9.38080419237887,lake0177,2550,0.1024
PC68,8.89849316449544,lake0177,2550,0.1024
PC7,8.49627128042491,lake0177,2550,0.1024
PC30,8.46553852895267,lake0177,2550,0.1024
PC12,7.71119498057295,lake0177,2550,0.1024
PC48,7.59224404410645,lake0177,2550,0.1024
PC2,7.17938048720585,lake0177,2550,0.1024
PC10,6.40234262965578,lake0177,2550,0.1024
month,4.44201190285212,lake0177,2550,0.1024
decyear,36.8832592399883,lake0203,1650,0.2048
PC2,19.684321070049,lake0203,1650,0.2048
PC14,17.6837634420243,lake0203,1650,0.2048
PC13,17.6527204570837,lake0203,1650,0.2048
month,8.09593579085474,lake0203,1650,0.2048
decyear,19.0819503901944,lake0209,2750,0.1024
PC45,17.5674165770611,lake0209,2750,0.1024
PC5,16.1065832304236,lake0209,2750,0.1024
PC55,15.2270153967975,lake0209,2750,0.1024
PC22,14.4592122401903,lake0209,2750,0.1024
PC7,14.4033131412656,lake0209,2750,0.1024
month,3.1545090240676,lake0209,2750,0.1024
PC4,7.98526381634336,lake0221,2100,0.1024
PC30,7.01618562485438,lake0221,2100,0.1024
PC84,6.53852692242452,lake0221,2100,0.1024
PC2,6.41321520759037,lake0221,2100,0.1024
PC18,6.15147506095858,lake0221,2100,0.1024
PC12,5.98829921172879,lake0221,2100,0.1024
PC70,5.97894302878441,lake0221,2100,0.1024
PC20,5.81172990952503,lake0221,2100,0.1024
PC7,5.38303615672383,lake0221,2100,0.1024
PC6,5.30738245188172,lake0221,2100,0.1024
PC34,5.21354177234511,lake0221,2100,0.1024
month,5.11677424589501,lake0221,2100,0.1024
PC57,4.98467252933652,lake0221,2100,0.1024
PC88,4.73093902539952,lake0221,2100,0.1024
decyear,4.72275737015524,lake0221,2100,0.1024
PC60,4.57199360378254,lake0221,2100,0.1024
PC3,4.54695833955028,lake0221,2100,0.1024
