data,lake,n.trees,lr,train_correlation,train_mean.resid,test_deviance.mean,test_deviance.se,test_correlation.mean,test_correlation.se,correlation,correlation_p,slope,slope_p,intercept,intercept_p,rsqr,df,rmse,mad,n,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
NA,lake0003,1350,0.1024,0.9927608311214,0.00231018776125737,0.0154220360968777,0.00164979732616867,0.950580083942653,0.00697676417492854,0.927255690097809,0,0.967184552974021,6.30408954207898e-293,-0.0160536218398039,7.54993983393586e-05,0.985574067808854,316,0.0480644126278203,0.025042393190754,318,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NA,lake0012,1100,0.1024,0.99616165652321,0.00132481370079654,0.0386193646103541,0.00355881052818119,0.880328407240437,0.0113580005605815,0.944125771522522,0,0.980437938201383,0,-0.00709594334301141,0.0209688785544207,0.992338045927066,317,0.0363979903400798,0.0185822510635697,319,F,F,F,F,T,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
NA,lake0021,1200,0.1024,0.995203618015284,0.000450306897313228,0.0130322289925404,0.00306765970609012,0.85790709434153,0.0277796477909613,0.954892635345459,0,0.975716205342511,1.03874652214399e-283,-0.0103195028522282,0.000572442986647665,0.990430241310712,279,0.0212204358417359,0.00717146846989414,281,T,F,F,T,F,F,F,F,T,T,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F
NA,lake0022,2650,0.1024,0.999052024185698,0.000136126385053385,0.0189491316444033,0.00148003631110916,0.853392231124647,0.00934577604956604,0.984445452690125,0,0.991118720723455,0,-0.00285390704534141,0.00196873406254227,0.998104947029539,316,0.0116673212458295,0.00306948953793701,318,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,T,T,F,T,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NA,lake0026,2650,0.1024,0.999840551364396,2.14804121755814e-05,0.0237187917381088,0.00170992745664074,0.790806974861572,0.023467590167497,0.991865634918213,0,0.996791352049286,0,-0.00073667864364908,0.0494408290648861,0.99968112815266,316,0.00463469655701227,0.00148844131192238,318,F,T,F,T,F,T,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NA,lake0029,2500,0.1024,0.998505988842852,0.00790145388732208,0.105530472531419,0.0131775267026346,0.979814423004493,0.00255979284437638,0.97253805398941,0,0.999368702876559,1.08656345317887e-298,0.00581542343364165,0.386739875948313,0.997014209755041,235,0.0888901225520703,0.0220283848186091,237,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NA,lake0034,1400,0.1024,0.99760471212202,0.00447893421856525,0.162955979352597,0.00936378482894965,0.905349606848096,0.0082037360400246,0.96640020608902,0,0.983146929068833,0,-0.0075475349734821,0.0752717504318333,0.995215161648059,288,0.0669248400712714,0.030588190060512,290,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,F,T,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NA,lake0042,2200,0.1024,0.998444576947079,0.000351317142815335,0.0256663111586513,0.00184040514641404,0.873730916062712,0.0144793462141829,0.987877547740936,0,0.99554440472961,0,0.000696563451643113,0.512188138115108,0.996891573235031,316,0.0187434559997706,0.00178025800760803,318,F,T,F,F,F,F,T,F,T,F,T,F,F,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T
NA,lake0053,1900,0.2048,0.995972118549347,0.00561619818957483,0.171834629141416,0.0155593616499731,0.878971501616367,0.0112720491488364,0.979968905448914,0,0.992663871396351,0,-0.000950755082779529,0.839504787481975,0.991960460927675,317,0.0749412982912281,0.00983909501520497,319,F,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
NA,lake0068,1300,0.0512,0.990098913349387,0.00393753158416104,0.0186282242069088,0.00141009294875845,0.949561905497583,0.00523539034828998,0.923695087432861,0,0.972626803901788,1.57085346994068e-271,-0.000650854369761097,0.851392932988544,0.980295858215636,316,0.0627497536581701,0.0337794034010341,318,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
NA,lake0081,2150,0.1024,0.993456449827115,0.00878501939368704,0.170260306964403,0.0178734626709131,0.859567640867805,0.026441186245999,0.976598262786865,0,0.985798878443044,1.54786413509703e-238,-0.0183159962565768,0.0300389051727435,0.986955717703096,251,0.0937284342859041,0.0113202509546533,253,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
