lakename,groupingENSO,groupingNAO,groupingNPO,groupingPC15,lat,lon,lake,GLWDid,AREA_SKM,PERIM_KM,LONG_DEG,LAT_DEG,ELEV_M,CATCH_TSKM
Arapa,NA,NA,NA,CentralSouthAmerica,-15.15,-70.06,lake0034,1273,145.9,113.2,-69.98,-15.19,3859,0.4
Vermelha,NA,NA,NA,CentralSouthAmerica,-20,-49.86,lake0448,129,1275.2,1132.4,-50.58,-19.83,338,374.1
Mweru,NA,NA,EastAfrica,EastAfrica,-9,28.75,lake0416,36,4944.8,491.7,28.74,-9.01,949,176.5
Tanganyika,NA,NA,EastAfrica,EastAfrica,-6,29.58,lake0315,7,32820.5,1948.5,29.46,-6.07,837,282.3
Victoria_1,NA,NA,EastAfrica,EastAfrica,-1,33,lake0314,3,67075.2,6041.4,33.23,-1.3,1140,257.9
Ijsselmeer,NA,NA,NorthernEurope,WesternEurasia,52.67,5.42,lake0340,89,1962.7,465.8,5.42,52.66,0,1.4
Kapchagayskoye,CentralAsia,NA,NA,WesternEurasia,43.83,77.5,lake0431,131,1273,279.6,77.73,43.82,462,3.9
Kremenshugskoye,NA,NA,NA,WesternEurasia,49.25,32.58,lake0503,87,1964.9,431.4,32.62,49.28,78,373.9
Aberdeen,NA,WestCentralNorthAmerica,NA,NA,64.49,-99.12,lake0440,152,1128.2,546.8,-98.59,64.55,76,162.6
Amadjuak,NA,NA,NA,NA,64.89,-71.16,lake0264,56,3033.7,1040.3,-71.13,64.99,112,19.5
Angostura,NA,NA,NA,NA,16.12,-92.55,lake0341,234,762.3,512.7,-92.56,16.12,750,6.8
Ang-tzu,NA,NA,NA,NA,31.03,87.15,lake0156,444,411.3,108.7,87.14,31.01,4731,0
Aral_Sea_1,CentralAsia,NA,NA,NA,44.98,59.81,lake2327,4,65966.8,3580.4,60.08,45.13,42,255.5
Aral_Sea_3,NA,NA,NA,NA,46.42,60.83,lake1442,4,65966.8,3580.4,60.08,45.13,42,255.5
Araros,NA,NA,NA,NA,-4.22,-40.48,lake0786,2144,84.4,150.2,-40.45,-4.28,152,3.9
Athabasca,NA,WestCentralNorthAmerica,NA,NA,59.13,-110.12,lake0348,23,7781.6,1629.8,-109.96,59.1,212,111.4
Atitla,NA,NA,NA,NA,14.7,-91.14,lake0029,1479,123.6,67.9,-91.2,14.67,1615,0.5
Aylmer,NA,NA,NA,NA,64.12,-108.31,lake1031,226,789.8,676.8,-108.46,64.15,366,38.8
Badajos,NA,NA,NA,NA,-3.21,-62.8,lake0781,826,227.4,209.9,-62.74,-3.29,36,0.9
Baikal,NA,NA,NA,NA,52.67,107,lake0316,8,31924.6,2324.3,108.14,53.63,450,602.4
Baker,NA,NA,NorthernCanada,NA,64.17,-95.48,lake0408,97,1780.3,597.2,-95.28,64.13,2,236.8
Balaton,NA,NA,NA,NA,46.85,17.82,lake0395,310,578.2,193.8,17.83,46.88,126,5.4
Balkhash,CentralAsia,NA,NA,NA,46.25,74.5,lake0278,17,17458.8,3061.2,73.95,45.91,329,44.6
Becharof,NA,WestCentralNorthAmerica,NA,NA,57.89,-156.4,lake0436,145,1184.5,262.2,-156.4,57.85,22,3.1
Beloye,NA,NA,NA,NA,60.27,37.29,lake0953,160,1095.4,127.9,37.64,60.18,122,6.8
Beysehir,NA,NA,NA,NA,37.78,31.55,lake0107,267,659.6,246.2,31.52,37.78,1148,2
Boeng_Tonle,NA,NA,NA,NA,13,104,lake0319,64,2569.9,563.4,104.15,12.81,4,57.7
Bosten,CentralAsia,NA,NA,NA,42,87,lake0347,181,999.5,222.8,87.07,41.98,1062,7
Bratskoye,NA,NA,NA,NA,56.07,101.88,lake0583,39,4476.5,3145.3,103.07,54.85,399,755.7
Buhayrat_ath_Thartha,NA,NA,NA,NA,34,43.25,lake0269,77,2119.4,367.2,43.17,34.11,48,31.2
Burigi,NA,NA,NA,NA,-2.01,31.19,lake0557,2349,77.2,72.4,31.32,-2.12,1217,3.8
Cabora_Bassa,NA,NA,NA,NA,-15.67,32,lake0414,42,4362.6,837.9,31.63,-15.73,420,1037.5
